Category,Name,Price,Description
What's Hot,Feed The Family 5,45.0,"3 BYO 11-inch Pizzas + Your Choice any Two: Entree Salad, Meatballs, Cheesy Breads, or Dessert."
What's Hot,Green Goddess Chop Salad – Side,7.19,"This fresh and vibrant salad that's packed with flavor! Crisp romaine lettuce is topped with juicy tomatoes, mushrooms, black olives, shredded mozzarella, and oregano, all tossed in a creamy, Green Goddess dressing."
What's Hot,Green Goddess Chop Salad – Entrée,10.99,"This fresh and vibrant salad that's packed with flavor! Crisp romaine lettuce is topped with juicy tomatoes, mushrooms, black olives, shredded mozzarella, and oregano, all tossed in a creamy, Green Goddess dressing."
What's Hot,Spicy & Fresh Duo,17.99,"Includes the fiery, flavor-packed 11” Spicy Hot Chicken Pickle Pizza, and a side of Green Goddess Chop Salad, to balance out the meal with a burst of freshness in every bite."
11-inch Pizzas,Spicy Hot Chicken Pickle Pizza (11-inch),13.99,"A fiery, flavor-packed pizza that appeals to adventurous eaters and spice enthusiast. White sauce at the base, topped with melted mozzarella, tender chicken, fresh basil, tangy pickles, and drizzle of Spicy Chili Oil."
11-inch Pizzas,Spicy Pepperoni Pizza,13.99,"NEW Signature Pizza! One of the most popular pizzas by far is now topped with double pepperoni and jalapeño with garlic, and your choice of spicy hot or spicy sweet drizzle."
11-inch Pizzas,Build Your Own Pizza (11-inch),13.99,choose any toppings
11-inch Pizzas,Carnivore (11-inch),13.99,"NEW Signature Pizza! Our Chef’s signature recipe includes a savory mix of pepperoni slices, julienned ham and crumbled meatballs. The toppings are paired with our house made tomato-based sauce, creamy mozzarella cheese, and finished with a Balsamic drizzle. It’s a protein-packed pizza perfect for meat lovers. Limited substitutions. "
11-inch Pizzas,Meatball Pie (11-inch),13.99,"NEW Signature Pizza! Our chef-inspired Meatball Pie features juicy and flavorful crumbled meatballs accompanied by our classic house-made tomato sauce, creamy mozzarella, and dollops of ricotta cheese. The result is a delicious and hearty pizza with a satisfying blend of meaty goodness. Limited substitutions. "
11-inch Pizzas,Blazed BBQ (11-inch),13.99,"NEW Signature Pizza! The NEW Blaze BBQ Chicken pizza recipe features a base of tangy BBQ sauce, creamy mozzarella cheese, tender pieces of grilled chicken along with red onions and pickled jalapeno peppers. This delicious combination is topped with a drizzle of ranch dressing for extra flavor. Limited substitutions. "
11-inch Pizzas,Four Cheese (11-inch),13.99,"NEW Signature Pizza! Cheese-lovers unite and rejoice in our new mega cheese pizza. After a base of our house-made red sauce we then unite four cheeses onto one pizza — shredded mozzarella, our fresh ovalini mozzarella, creamy dollops of ricotta, parmesan sprinkles, and finish it with a swirl of olive oil. Limited substitutions. "
11-inch Pizzas,Herbivore (11-inch),13.99,"NEW Signature Pizza! A new and crazy delicious way to get your daily dose of veggies. Our garden-inspired creation starts off with our spicy red sauce topped with generous portions of shredded mozzarella, mushrooms, roasted garlic, tomatoes, banana peppers plus a finish of fresh arugula and a swirl of olive oil. Limited substitutions. "
11-inch Pizzas,Vegetarian Pizza,17.99,"Our Chef's signature recipe includes cauliflower (gf) crust, red sauce, mozzarella, ricotta, artichokes, black olives, onions, spinach."
11-inch Pizzas,Vegan Pizza,16.35,"Our Chef's recipe includes regular dough (v), red sauce, vegan cheese, spicy chorizo (v), mushrooms, onions, green bell peppers, basil, olive oil drizzle."
11-inch Pizzas,2 Top Pizza (11-inch),12.49,"sauce, cheese & 2 toppings"
11-inch Pizzas,1 Top Pizza (11-inch),10.99,"sauce, cheese & 1 topping"
11-inch Pizzas,Simple Pie (11-inch),9.99,"mozzarella, parmesan, red sauce"
