Category,Name,Price,Description,Base Calories,Max Calories
What's New,Big Smashed Jack™ Combo ,15.78,"Two 1/4lb smashed patties made w/ 100% seasoned beef, cheese, pickles, lettuce, onion, & Jack’s Boss sauce on a triple brioche bun, plus fries & drink.",,
What's New,Big Smashed Jack™,10.99,"Two 1/4lb smashed patties made w/ 100% seasoned beef, cheese, pickles, lettuce, onion, & Jack’s Boss sauce on a triple brioche bun, plus fries & drink.",1200,
What's New,18pc Classic Crispy Boneless Wings,16.99,18 of our classic Crispy Boneless Wings served with Jack's Famous Buttermilk Ranch dipping sauce.,990,
What's New,12pc Smoke Show Smoky BBQ Crispy Boneless Wings Combo,15.78,12pc 100% all-white meat Crispy Boneless Wings tossed in Smoke Show Smoky BBQ sauce plus fries & drink. This smoky sweet BBQ sauce is too good for napkins.,,
What's New,12pc Smoke Show Smoky BBQ Crispy Boneless Wings,11.99,12pc 100% all-white meat Crispy Boneless Wings tossed in Smoke Show Smoky BBQ sauce. A smoky sweet BBQ serenade for your tastebuds that you won't forget.,1020,
What's New,12pc Honey Garlic Sriracha Crispy Boneless Wings Combo,15.78,"12pc 100% all-white meat Honey Garlic Sriracha Crispy Boneless Wings served w/ Buttermilk Ranch, plus fries & a drink. It's the perfect blend of sweet heat.? ",,
What's New,12pc Classic Crispy Boneless Wings Combo,15.78,"Cars, movies, books…sometimes, the classics are better. Like my 12 Classic, 100% all-white meat Crispy Boneless Wings that come with fries and a drink. ",,
What's New,12pc Classic Crispy Boneless Wings,11.99,"Classic? Yes. Plain? How dare you. These12 Classic, 100% all-white meat Crispy Boneless Wings bring the flavor, not the boring.? ",670,
What's New,6pc Smoke Show Smoky BBQ Crispy Boneless Wings Combo,10.78,"6pc 100% all-white meat Crispy Boneless Wings tossed in Smoke Show Smoky BBQ sauce, plus fries & drink. This smoky sweet BBQ sauce is too good for napkins.",,
What's New,6pc Smoke Show Smoky BBQ Crispy Boneless Wings,6.99,6pc 100% all-white meat Crispy Boneless Wings tossed in Smoke Show Smoky BBQ sauce. A smoky sweet BBQ serenade for your tastebuds that you won't forget.,480,
What's New,6pc Honey Garlic Sriracha Crispy Boneless Wings Combo,10.78,"6pc 100% all-white meat Honey Garlic Sriracha Crispy Boneless Wings served w/ Buttermilk Ranch, plus fries & a drink. It's the perfect blend of sweet heat. ",,
What's New,6pc Classic Crispy Boneless Wings Combo,10.78,"Cars, movies, books…sometimes, the classics are better. Like my six Classic, 100% all-white meat Crispy Boneless Wings that come with fries and a drink.  ",,
What's New,6pc Classic Crispy Boneless Wings,6.99,"Classic? Yes. Plain? How dare you. These six Classic, 100% all-white meat Crispy Boneless Wings bring the flavor, not the boring.?? ",350,
What's New,6pc Banana French Toast Sticks Combo,7.1,"Six pieces of French Toast Sticks, now banana flavored. Crispy on the outside & fluffy on the inside w/ chocolate syrup, plus hot coffee & a hash brown.",700,1490
What's New,6PC Banana French Toast Sticks,6.49,"Six pieces of French Toast Sticks, now banana flavored. Crispy on the outside & fluffy on the inside, served w/ chocolate syrup to make you go bananas.",640,
What's New,3PC Banana French Toast Sticks Platter w/ Bacon & Sausage Combo,8.5,"Scrambled eggs, a hash brown, hickory-smoked bacon, sausage, plus three banana flavored French Toast Sticks with chocolate syrup. Plus, hot coffee & a hash brown.",950,1740
What's New,3PC Banana French Toast Sticks Platter w/ Bacon & Sausage,7.59,"Scrambled eggs, a hash brown, hickory-smoked bacon, sausage, plus three banana flavored French Toast Sticks w/ chocolate syrup. Served all day, every day!",890,
What's New,3PC Banana French Toast Sticks Platter w/ Bacon,7.19,"Scrambled eggs, a crispy hash brown, hickory-smoked bacon, plus three banana flavored French Toast Sticks with chocolate syrup. Served all day, every day!",720,
What's New,3PC Banana French Toast Sticks Platter w/ Sausage Combo,8.1,"Scrambled eggs, a hash brown, sausage, plus three banana flavored French Toast Sticks with chocolate syrup for dipping. Plus, hot coffee & a hash brown.",860,1650
What's New,3PC Banana French Toast Sticks Platter w/ Sausage,7.19,"Scrambled eggs, a hash brown, sausage, plus three banana flavored French Toast Sticks w/ chocolate syrup for dipping. Served all day, every day!",800,
What's New,3PC Banana French Toast Sticks,3.49,"Three pieces of French Toast Sticks, now banana flavored. Crispy on the outside & fluffy on the inside, served w/ chocolate syrup to make you go bananas.",330,
What's New,Fish Sandwich Combo,7.08,"A crispy panko breaded wild caught Alaskan Pollock fish filet with tartar sauce and fresh lettuce on a toasted buttery bakery bun, plus fries & drink.",,
What's New,Fish Sandwich,3.29,"A crispy panko breaded wild caught Alaskan Pollock fish filet with tartar sauce and fresh lettuce on a toasted buttery bakery bun. Yep, it's reel good.",450,
What's New,Classic Sauced & Loaded Waffle Fries,4.0,"Jack's new Sauced & Loaded Waffle Fries, smothered with cheddar cheese and nacho cheese sauce, then topped with crumbled bacon & Buttermilk Ranch Drizzle.",540,
What's New,Spicy Sauced & Loaded Waffle Fries,4.0,"Jack's new Sauced & Loaded Waffle Fries, smothered with cheddar cheese and nacho cheese sauce, topped w/ crumbled bacon, jalapeños & Spicy Good Good Sauce.",550,
What's New,Oreo® Mint Shake,6.29,Feelin’ lucky? Treat yourself to Jack’s Mint Shake blended with Oreo® cookie crumbs finished with whipped topping and even more Oreo® cookie crumbs.,,
What's New,Oreo® Mint Mocha Sweet Cream Iced Coffee,,"High Mountain Arabica coffee over ice, swirled with vanilla cream, and finished with whipped topping & Oreo® cookie crumbs. A minty sweet treat!",,
What's New,Mint Twisted Soda,,"St. Patty’s with a twist! A refreshing Sprite® with sweetened cream, vanilla, & mint flavors, finished w/ whipped topping. You're mint to treat yourself.",,
