restaurant,name,price
Nick The Greek - Davis,Chicken Gyro Pita,$14.95
Nick The Greek - Davis,Beef/Lamb Gyro Pita,$14.95
Nick The Greek - Davis,Falafel Pita,$14.95
Nick The Greek - Davis,Beef/Lamb Gyro Pita,$14.95
Nick The Greek - Davis,Beef/Lamb Gyro Pita Combo,$19.75
Nick The Greek - Davis,Beefteki Pita,$14.95
Nick The Greek - Davis,Beefteki Pita Combo,$19.75
Nick The Greek - Davis,Chicken Gyro Pita,$14.95
Nick The Greek - Davis,Chicken Gyro Pita Combo,$19.75
Nick The Greek - Davis,Chicken Souvlaki Pita,$14.95
Nick The Greek - Davis,Chicken Souvlaki Pita Combo,$19.75
Nick The Greek - Davis,Falafel Pita Combo,$19.75
Nick The Greek - Davis,Falafel Pita,$14.95
Nick The Greek - Davis,Pork Gyro Pita,$14.95
Nick The Greek - Davis,Pork Gyro Pita Combo,$19.75
Nick The Greek - Davis,Pork Souvlaki Pita,$14.95
Nick The Greek - Davis,Pork Souvlaki Pita Combo,$19.75
Nick The Greek - Davis,Veggie Pita,$14.95
Nick The Greek - Davis,Veggie Pita Combo,$19.75
Nick The Greek - Davis,Burger,$14.95
Nick The Greek - Davis,Burger Combo,$19.75
Nick The Greek - Davis,Mediterranean Steak Bowl,$17.75
Nick The Greek - Davis,Gyro Bowl,$15.75
Nick The Greek - Davis,Gyro Plate,$19.95
Nick The Greek - Davis,Kids Plate,$10.95
Nick The Greek - Davis,Souvlaki Plate,$19.95
Nick The Greek - Davis,Greek Salad,$13.50
Nick The Greek - Davis,Soup,$7.50
Nick The Greek - Davis,Side Greek Salad,$6.50
Nick The Greek - Davis,Gyro Salad,$14.50
Nick The Greek - Davis,Prasini Salad,$11.50
Nick The Greek - Davis,Side Salad,$5.25
Nick The Greek - Davis,Nicks Fries,$14.95
Nick The Greek - Davis,Fries,$5.00
Nick The Greek - Davis,Greek Fries,$10.50
Nick The Greek - Davis,Froyo,$7.25
Nick The Greek - Davis,Baklava,$4.95
Nick The Greek - Davis,Loukoumades,$8.50
Nick The Greek - Davis,Froyo w/Chocolate Shell,$8.25
Nick The Greek - Davis,Iced Tea,$2.95
Nick The Greek - Davis,Pepsi,$3.50
Nick The Greek - Davis,Dr. Pepper,$3.50
Nick The Greek - Davis,Crush Orange,$3.50
Nick The Greek - Davis,Starry,$3.50
Nick The Greek - Davis,Aquafina,$3.00
Nick The Greek - Davis,Side Sauce,Priced by add-ons
