Category,Name,Price,Description,Base Calories,Max Calories
Deals,$3 Tender Tuesday,3.0,"Get 2 of our NEW Crispy Tenders, sauced and tossed in your favorite flavor, for just $3.",240.0,360.0
Deals,80 Cent 10 Boneless Wings,8.0,"Get 10 of our delicious boneless wings, sauced and tossed in your favorite flavors, for just 80 cents per wing. (Dip not included)",800.0,1100.0
Deals,80 Cent 15 Boneless Wings,12.0,"Get 15 of our delicious boneless wings, sauced and tossed in your favorite flavors, for just 80 cents per wing. (Dip not included)

",1200.0,1650.0
Deals,Flavor Feast,24.99,"16 boneless wings and 6 of our NEW crispy tenders with up to 4 flavors, large fries, and 3 dips. (Feeds 3-4)",3930.0,5090.0
Deals,Boneless Meal Deal,18.99,"Comes with 20 Boneless Wings in your choice of 4 flavors, with a large fry and 2 dips. (Feeds 2-3)",2310.0,3860.0
Deals,NEW! 6 pc Crispy Tender Meal for 2,14.99,"6 of our NEW Crispy Tenders with 2 flavors, large fries, regular veggie sticks, and 2 dips",1950.0,2620.0
Deals,Boneless UFC Fight Night Bundle,43.99,"30 Boneless wings with up to 3 flavors, large fries, veggie sticks and 3 dips. (Feeds 4-5)",3346.0,5178.0
Deals,Classic UFC Fight Night Bundle,48.99,"30 Classic (Bone-In) wings with up to 3 flavors, large fries, veggie sticks and 3 dips. (Feeds 4-5)",3046.0,4878.0
Deals,Mix & Match UFC Fight Night Bundle,48.99,"30 piece mix of Boneless and Classic (Bone-In) wings with up to 3 flavors, large fries, veggie sticks and 3 dips. (Feeds 4-5)",3046.0,5178.0
Wing Combos,6 pc Boneless Combo,13.99,"6 Boneless wings with up to 2 flavors, regular fries or veggie sticks, 1 dip and a 20oz drink
",830.0,1820.0
Wing Combos,6 pc Classic Combo,14.99,"6 Classic (Bone-In) wings with up to 2 flavors, regular fries or veggie sticks, 1 dip and a 20oz drink
",860.0,1890.0
Wing Combos,6 pc Mix & Match Combo,14.99,"6 piece mix of Boneless and Classic (Bone-In) wings with up to 2 flavors, regular fries or veggie sticks, 1 dip and a 20oz drink
",830.0,1890.0
Wing Combos,8 pc Boneless Combo,14.99,"8 Boneless wings with up to 2 flavors, regular fries or veggie sticks, 1 dip and a 20oz drink
",990.0,2040.0
Wing Combos,8 pc Classic Combo,16.99,"8 Classic (Bone-In) wings with up to 2 flavors, regular fries or veggie sticks, 1 dip and a 20oz drink
",1030.0,2140.0
Wing Combos,8 Pc Mix & Match Combo,16.99,"8 piece mix of Boneless and Classic (Bone-In) wings with up to 2 flavors, regular fries or veggie sticks, 1 dip and a 20oz drink
",990.0,2140.0
Wing Combos,10 pc Boneless Combo,16.99,"10 Boneless wings with up to 2 flavors, regular fries or veggie sticks, 1 dip and a 20oz drink
",1160.0,2260.0
Wing Combos,10 pc Classic Combo,18.99,"10 Classic (Bone-In) wings with up to 2 flavors, regular fries or veggie sticks, 1 dip and a 20oz drink
",1210.0,2380.0
Wing Combos,10 pc Mix & Match Combo,18.99,"10 piece mix of Boneless and Classic (Bone-In) wings with up to 2 flavors, regular fries or veggie sticks, 1 dip and a 20oz drink
",1160.0,2380.0
Wing Group Packs,15 pc Boneless Meal for 2,27.99,"15 Boneless wings with up to 2 flavors, large fries or veggie sticks, 2 dips and 2 20oz drinks
",1910.0,3880.0
Wing Group Packs,15 pc Classic Meal for 2,29.99,"15 Classic (Bone-In) wings with up to 2 flavors, large fries or veggie sticks, 2 dips and 2 20oz drinks",1980.0,4060.0
Wing Group Packs,15 pc Mix & Match Meal for 2,29.99,"15 Boneless and Classic (Bone-In) wings with up to 2 flavors, large fries or veggie sticks, 2 dips and 2 20oz drinks
",1910.0,4060.0
Wing Group Packs,30 pc Boneless Crew Pack,43.99,"30 Boneless wings with up to 3 flavors, large fries, veggie sticks and 3 dips. (Feeds 4-5)
",3510.0,5400.0
